A       一
BBJQ    翬
BBKJ    翂
BBKM    顟
BBKT    鄝
BBKX    戳
BBKX    戮
BBKY    翟
BBKY    雡
BBKZ    翭
BBK.    翏
BBK,    鷚
BBK,    鸐
BBLP    習
BBLQ    毣
BBLS    翫
BBLX    飁
BBL;    翑
BBL,    翵
BBOZ    翐
BBPC    翨
BBPK    翼
BBQ     羾
BBQN    翴
BBTB    翍
BBY     翌
BBY     翋
BBYC    翞
BBYF    翠
BBYW    翣
BBY;    翯
BBZH    翇
BBZK    翜
BB..    翪
BB;D    翀
BC      尿
BCOF    犀
BCON    遲
BCU     屑
BC/O    斸
BC//    屬
BDD     屈
BDD,    鶌
BEE     屝
BF;     居
BF;,    鶋
BGD     予
BGDB    務
BGDE    劀
BGDF    鞪
BGDG    矜
BGDI    鍪
BGDJ    瞀
BGDL    矛
BGDM    預
BGDN    遹
BGDP    矠
BGDQ    氄
BGDR    堥
BGDV    柔
BGDV    楘
BGDW    婺
BGD.    豫
BGD/    蝥
BGD/    蟊
BGD;    矞
BGD,    騖
BGD,    鶔
BGD,    鶩
BGD,    鷸
BGFF    孱
BG;     局
BH      叉
BHH/    蚤
BIF     屏
BIFF    羼
BJ      即
BJ      眉
BJDE    刷
BJF     甬
BJFB    勇
BJFN    通
BJFN    恿
BJR     堲
BJT     郿
BK      尺
BK/P    層
BK;K    咫
BLQ     尾
BLQF    屘
BLS     尻
BL,     鳲
BMMM    屭
BN      迉
BNK     屄
BNZC    屪
BP      屇
BP;W    屢
BQ      尼
BQI     登
BQIN    邆
BQIS    凳
BQIT    鄧
BQN     迡
BQQ     屁
BQS     既
BQSA    暨
BQSR    塈
BQS,    鱀
BR      圣
BRD     屆
BRKB    殿
BRKR    壂
BRKU    臀
BRLP    屠
BRL,    鷵
BRX     展
BSB     癹
BTGB    發
BTQD    屙
BYF     屖
B.EC    屣
B.FB    屐
B.L;    屩
B.O.    履
B.PW    屨
B.RS    屜
B.RV    屧
B;      加
B;G,    駕
B;JD    屌
B;LQ    毠
B;L,    鴐
B;M     賀
